time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.025000,0.5090,-1.9292,-2.2345,2.996
2.029000,0.5219,-1.8591,-2.6019,3.240
2.033000,0.5344,-1.7644,-2.8982,3.435
2.038000,0.5705,-1.6136,-3.0880,3.531
2.043000,0.6356,-1.4159,-3.1356,3.499
2.048000,0.6932,-1.2285,-3.0106,3.325
2.053000,0.6895,-1.1438,-2.8211,3.121
2.057000,0.6017,-1.2186,-2.6487,2.977
2.062000,0.4540,-1.4382,-2.3932,2.829
2.068000,0.2830,-1.7221,-1.9826,2.641
2.071000,0.0772,-2.0138,-1.5150,2.521
2.076000,-0.1534,-2.2973,-1.1099,2.556
2.082000,-0.3369,-2.5393,-0.8243,2.691
2.086000,-0.4734,-2.7089,-0.6774,2.832
2.090000,-0.5511,-2.7962,-0.6880,2.932
2.096000,-0.5440,-2.7985,-0.8679,2.980
2.101000,-0.4525,-2.7152,-1.1668,2.990
2.105000,-0.2867,-2.5558,-1.5154,2.985
2.109000,-0.0663,-2.3247,-1.8825,2.992
2.114000,0.1698,-2.0508,-2.2202,3.027
2.121000,0.4119,-1.7725,-2.4855,3.080
2.124000,0.6622,-1.5186,-2.7095,3.176
2.130000,0.8819,-1.2936,-2.9617,3.350
2.134000,1.0492,-1.0426,-3.2084,3.533
2.138000,1.1737,-0.7436,-3.3973,3.670
2.143000,1.2291,-0.4586,-3.5213,3.758
2.147000,1.2250,-0.2543,-3.5543,3.768
2.152000,1.1904,-0.1258,-3.4630,3.664
2.157000,1.1113,-0.0992,-3.2597,3.445
2.162000,0.9929,-0.1673,-2.9971,3.162
2.166000,0.8547,-0.2680,-2.6369,2.785
2.172000,0.6622,-0.4013,-2.1796,2.313
2.176000,0.3970,-0.6100,-1.6993,1.849
2.181000,0.1382,-0.8534,-1.2441,1.515
2.186000,-0.0902,-1.0485,-0.8088,1.327
2.190000,-0.2858,-1.1793,-0.3908,1.275
2.196000,-0.4653,-1.2487,-0.0639,1.334
2.200000,-0.6338,-1.2785,0.0835,1.429
2.205000,-0.7631,-1.2707,-0.0152,1.482
2.209000,-0.8734,-1.2343,-0.3384,1.549
2.214000,-0.9536,-1.1444,-0.7808,1.682
2.219000,-0.9751,-0.9888,-1.2133,1.844
2.223000,-0.8906,-0.7767,-1.5811,1.974
2.228000,-0.6980,-0.5105,-1.8771,2.067
2.234000,-0.4623,-0.2214,-2.1253,2.186
2.238000,-0.1985,0.0569,-2.3281,2.337
2.243000,0.1028,0.3599,-2.4949,2.523
2.248000,0.4177,0.7067,-2.6114,2.737
2.252000,0.7155,1.0448,-2.6325,2.921
2.257000,0.8962,1.2815,-2.6134,3.046
2.261000,0.9391,1.3623,-2.5114,3.007
2.266000,0.9265,1.2924,-2.2646,2.767
